41297	Sphingomonadaceae	1216381	25429	308
41938	Malvales	987792	41022	29
41980	Metallosphaera	10138	2250	5
43668	Brachybacterium	58316	5127	20
43988	Cyanothece	4618	2184	2
44000	Caldicellulosiruptor	19498	2620	9
44249	Paenibacillus	1295939	30045	241
45401	Hyphomicrobiaceae	251385	14428	29
45669	Salinicoccus	28931	3111	10
45989	Methanoculleus	22619	2989	10
46255	Weissella	34106	3339	20
46913	Devosia	108919	8145	29
47251	Leptolyngbya	65338	8092	13
48075	Marinobacterium	41910	5773	11
48736	Ralstonia	49260	6904	11
49277	Psychroserpens	16910	3242	6
49546	Flavobacteriaceae	2911857	38702	691
50557	Insecta	13103758	81851	986
51368	unclassified dsDNA viruses	189944	27008	7
52959	Polaribacter	75917	5531	27
53246	Pseudoalteromonas	276594	13214	68
53335	Pantoea	167771	9053	50
55080	Brevibacillus	120407	10123	25
55968	Leucobacter	60936	5388	23
56688	Halorubrum	126708	6589	42
57493	Kocuria	51118	5053	19
57665	Sulfurospirillum	21467	3037	9
57723	Acidobacteriota	221781	14119	56
59732	Chryseobacterium	551388	14229	127
59753	Alcanivorax	56741	5921	13
60136	Sulfitobacter	112722	7838	26
60846	Halogeometricum	12687	3682	4
63742	Natrialba	28565	5066	8
64895	Borreliella	11801	1147	10
65551	Meiothermus	27156	3896	9
67572	Psychromonas	42210	5976	14
67753	Crinivirus	453	17	14
68287	Mesorhizobium	550517	18976	92
68295	Thermoanaerobacterales	111862	7790	21
68336	Bacteroidota/Chlorobiota group	6839974	84437	1932
68525	delta/epsilon subdivisions	1419066	50517	12
68889	Boletales	754998	33409	58
69277	Phyllobacteriaceae	786036	21499	148
69541	Desulfuromonadales	129400	8614	20
69657	Hyphomonadaceae	124279	8084	25
69973	Closteroviridae	772	49	45
71240	eudicotyledons	7800253	108553	266
72025	Fabales	1061309	43602	35
72273	Thiotrichales	162185	11924	71
72274	Pseudomonadales	3164360	39313	598
72275	Alteromonadaceae	506368	17788	78
72276	Ectothiorhodospiraceae	147790	9055	54
72293	Helicobacteraceae	141136	7131	74
72294	Campylobacteraceae	211551	8845	56
74030	Roseovarius	113892	7953	33
74201	Verrucomicrobiota	176564	15995	59
75682	Oxalobacteraceae	702381	21987	147
75966	Trebouxiophyceae	89609	12933	12
76803	Arteriviridae	358	35	21
76804	Nidovirales	1513	128	99
76890	Asticcacaulis	37981	5069	11
76892	Caulobacteraceae	301940	13155	85
79206	Desulfosporosinus	67198	6793	16
80840	Burkholderiales	4359230	59257	908
80864	Comamonadaceae	1097286	28244	242
81852	Enterococcaceae	231994	10427	90
82115	Rhizobiaceae	1232071	25251	228
83614	Luteimonas	58316	5079	22
83618	Pseudoxanthomonas	73671	6033	23
83676	Nocardiopsaceae	182032	10261	39
84406	Virgibacillus	64583	6328	18
84566	Sphingobacteriaceae	839034	20988	196
84567	Pedobacter	380304	14847	85
84642	Aeromonadaceae	155614	8260	46
84998	Coriobacteriia	185319	8330	99
84999	Coriobacteriales	115499	5983	67
85006	Micrococcales	3118004	40870	978
85007	Mycobacteriales	3002046	42122	655
85009	Propionibacteriales	817757	24602	202
85011	Kitasatosporales	4256325	46723	616
85012	Streptosporangiales	995530	27238	149
85015	Nocardioidaceae	666363	21750	119
85016	Cellulomonadaceae	176982	9659	54
85021	Intrasporangiaceae	242409	11460	57
85023	Microbacteriaceae	1392920	24222	449
85025	Nocardiaceae	975653	26756	165
85413	Bosea	149371	10077	29
88723	Natrinema	36012	5255	18
89373	Cytophagaceae	422033	18911	32
89404	Glaciecola	17418	3364	7
89966	Hymenobacter	195924	9867	50
90142	Ferroplasmaceae	2624	1293	2
90964	Staphylococcaceae	215713	7608	91
91061	Bacilli	6414990	77473	1932
91347	Enterobacterales	1789656	27133	522
91561	Artiodactyla	1805306	24289	97
92860	Pleosporales	1122915	18979	106
93133	Mycosphaerellaceae	207140	18366	20
93217	Pandoraea	110855	7283	25
95337	Vesivirus	401	7	10
95341	Sapovirus	310	5	7
95342	Sapporo virus	235	5	5
97050	Ruegeria	106864	7394	23
99479	Tetrasphaera	18319	3917	5
100953	Atadenovirus	877	32	8
102106	Collinsella	26765	3130	16
104267	Tenacibaculum	71744	6379	25
104394	Picobirnavirus	13	2	7
104766	Nanovirus	221	8	9
106589	Cupriavidus	186236	13146	32
106633	Thioalkalivibrio	62600	5311	24
110456	Teseptimavirus	3743	190	7
110618	Nectriaceae	1729147	32771	119
110932	Leifsonia	67670	6104	22
114380	Desulfurococcales	20606	3552	15
115784	Phaffomycetaceae	46231	6660	12
117743	Flavobacteriia	2985015	39726	911
117747	Sphingobacteriia	841729	20967	197
118969	Legionellales	200790	10140	81
119045	Methylobacteriaceae	401922	17315	79
119060	Burkholderiaceae	1670287	34286	295
119089	Chromadorea	878856	55114	64
119164	Polerovirus	353	10	33
121871	Haloterrigena	47453	6000	5
122277	Pectobacterium	56018	5844	14
128706	Haloviruses	\N	\N	\N
128827	Erysipelotrichaceae	129508	10435	42
129725	Foveavirus	781	12	10
133925	Olsenella	39673	3836	18
134362	Capnodiales	10036	4953	2
134813	Natronorubrum	28281	4917	9
135575	Idiomarina	72955	4134	14
135613	Chromatiales	352867	16701	115
135614	Xanthomonadales	929385	22444	276
135616	Piscirickettsiaceae	73064	6122	34
135619	Oceanospirillales	1003379	26545	288
135620	Oceanospirillaceae	275736	12880	80
135622	Alteromonadales	1399452	31428	326
135623	Vibrionales	801443	21702	204
135625	Pasteurellales	191699	6772	96
136099	Knoellia	20758	3888	7
137757	Ipomovirus	476	11	7
140052	Betaretrovirus	250	11	10
140410	Peduovirus	1823	147	7
140568	Allexivirus	697	9	12
142786	Norovirus	422	5	12
142796	Eumycetozoa	57508	9190	7
143919	Betanodavirus	17	3	5
143920	Alphanodavirus	62	4	5
144051	Cripavirus	729	8	5
147541	Dothideomycetes	2396300	28716	225
147545	Eurotiomycetes	3344226	36753	335
147548	Leotiomycetes	1289578	38488	120
147550	Sordariomycetes	5970950	51947	518
149698	Massilia	214391	12052	33
150247	Anoxybacillus	23437	3632	9
151340	Papillomaviridae	1235	25	197
151341	Polyomaviridae	589	15	117
153057	Alpharetrovirus	112	12	9
153135	Gammaretrovirus	188	13	17
153136	Deltaretrovirus	177	12	8
155616	Tremellomycetes	525417	9800	84
155619	Agaricomycetes	4989726	96389	389
156207	Tritimovirus	511	8	5
156973	Dysgonomonas	30471	4505	10
157897	Rudiviridae	648	100	14
162289	Peptoniphilus	34195	3286	22
162481	Microbotryomycetes	109977	8522	18
162484	Pucciniomycetes	168495	16882	15
165695	Sphingobium	166951	10444	41
165696	Novosphingobium	213000	12007	53
165697	Sphingopyxis	119843	8065	31
165779	Anaerococcus	31672	3345	19
171549	Bacteroidales	846177	23183	312
171550	Rikenellaceae	56848	5758	25
171551	Porphyromonadaceae	53787	4970	30
171552	Prevotellaceae	240858	10319	106
178830	Bornaviridae	325	10	17
180252	Mardivirus	1795	79	6
181083	Chlorovirus	3883	521	5
181084	Prasinovirus	2684	296	11
182709	Oceanobacillus	87133	7071	24
183924	Thermoprotei	121122	8839	63
183925	Methanobacteria	76216	5138	41
183963	Halobacteria	957395	19762	279
183967	Thermoplasmata	18068	3074	13
184751	Vitivirus	553	12	15
186328	Entomoplasmatales	32464	2431	39
186457	Aureusvirus	197	4	5
186532	Ceduovirus	355	41	7
186534	Caulimoviridae	495	36	81
186536	Ebolavirus	\N	\N	\N
186764	Fromanvirus	13977	561	78
186765	Lambdavirus	6950	522	4
186766	Narnaviridae	67	7	10
186767	Narnavirus	10	3	5
186768	Mitovirus	51	2	7
186777	Muvirus	730	88	3
186794	Lederbergvirus	2595	167	17
186801	Clostridia	3112258	59062	1016
186802	Eubacteriales	2920376	56497	561
186803	Lachnospiraceae	921185	26927	284
186804	Peptostreptococcaceae	112501	8448	41
186806	Eubacteriaceae	127028	10511	48
186807	Peptococcaceae	193416	11347	21
186814	Thermoanaerobacteraceae	64256	6051	19
186817	Bacillaceae	2505882	35786	638
186818	Planococcaceae	309469	11862	104
186820	Listeriaceae	55676	5110	22
186822	Paenibacillaceae	1622755	32939	309
186823	Alicyclobacillaceae	83330	7406	31
186826	Lactobacillales	1345652	27317	656
186827	Aerococcaceae	39867	3771	25
186828	Carnobacteriaceae	112352	6295	53
186886	Pomovirus	317	8	5
186938	Respirovirus	436	12	7
187213	Rudivirus	452	63	2
187214	Soymovirus	120	6	5
187218	Tequintavirus	4895	368	9
187857	Aquificae	43547	3759	27
188786	Thermaceae	85313	5627	35
188905	Jannaschia	36696	5094	11
190729	Betasatellite	116	1	117
191412	Chlorobiaceae	44771	3523	21
194924	Desulfovibrionaceae	209195	10767	69
194960	Kobuvirus	716	6	11
198251	Pelagibacter	21982	1821	21
198601	Satellite Nucleic Acids	\N	\N	\N
200643	Bacteroidia	1007734	26981	356
200644	Flavobacteriales	2979383	39718	908
200795	Chloroflexota	211994	17393	57
200918	Thermotogota	79111	5386	42
201174	Actinomycetota	15906662	133302	3458
203491	Fusobacteriales	108022	7479	55
203492	Fusobacteriaceae	65751	5783	31
203682	Planctomycetota	582513	28576	137
203691	Spirochaetota	420635	18849	149
203692	Spirochaetia	420635	18849	149
203804	Blochmannia	2861	600	5
204428	Chlamydiota	35457	3397	32
204434	Acidobacteriaceae	168222	11724	42
204441	Rhodospirillales	1080063	32061	294
204455	Rhodobacterales	2700863	36938	648
204457	Sphingomonadales	1554791	27719	444
206351	Neisseriales	298885	15423	111
213115	Desulfovibrionales	259989	12168	86
213118	Desulfobacterales	157406	12297	26
213119	Desulfobacteraceae	104897	10703	12
213422	Geobacteraceae	85925	7274	20
213849	Campylobacterales	359319	12171	196
216572	Oscillospiraceae	387830	18342	153
217160	Ampelovirus	492	13	11
224756	Methanomicrobia	207341	10311	83
227290	Rhizobium/Agrobacterium group	971097	22999	175
227307	Gyrovirus	16	2	8
228398	Streptacidiphilus	71084	8785	9
231213	Sporidiobolales	75225	8517	12
232795	Dicistroviridae	1270	13	24
232799	Iflavirus	1093	9	24
238783	Pseudorhodobacter	25521	4048	7
239759	Alistipes	37801	4533	17
245186	Loktanella	34642	5227	11
245876	Nitratireductor	36782	5390	10
246875	Algoriphagus	115668	7257	30
249184	Tymoviridae	612	7	45
249185	Maculavirus	454	7	6
249310	Chrysoviridae	120	11	13
249588	Mamastrovirus	182	8	28
249589	Avastrovirus	44	3	5
251095	Nanoviridae	257	11	11
